arrival_rate,num_requests,model_distribution,gpu_distribution,avg_waiting_per_model,avg_kv_cache,avg_ttft,avg_tpot,avg_latency_per_model,p95_latency_per_model,avg_output_tokens,arrival_pattern,effective_concurrency
3,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{1: 121, 0: 179}","{'Qwen2.5-3B-Instruct': 1.157303370786517, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.7362451940844285, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.09036895462855243, 'Qwen2.5-14B-Instruct': 0.0021255254107756943, 'Mistral-7B-Instruct-v0.3': 0.020354725557037694}","{'Qwen2.5-3B-Instruct': 4.481455509582262, 'Phi-3-mini-128k-instruct': 0.02751636505126953, 'Llama-3.1-8B-Instruct': 0.09096384048461914, 'Qwen2.5-14B-Instruct': 0.03873303532600403, 'Mistral-7B-Instruct-v0.3': 0.1135383329273742}","{'Qwen2.5-3B-Instruct': 0.03851484902464547, 'Phi-3-mini-128k-instruct': 0.016805969998422637, 'Llama-3.1-8B-Instruct': 0.033433096749706986, 'Qwen2.5-14B-Instruct': 0.01973395534459458, 'Mistral-7B-Instruct-v0.3': 0.01871830617851723}","{'Qwen2.5-3B-Instruct': 14.84718968091386, 'Phi-3-mini-128k-instruct': 6.901158094406128, 'Llama-3.1-8B-Instruct': 11.33349722623825, 'Qwen2.5-14B-Instruct': 4.832074329257011, 'Mistral-7B-Instruct-v0.3': 5.864478114210529}","{'Qwen2.5-3B-Instruct': 37.97754681110382, 'Phi-3-mini-128k-instruct': 6.901158094406128, 'Llama-3.1-8B-Instruct': 27.948747313022608, 'Qwen2.5-14B-Instruct': 12.952864766120909, 'Mistral-7B-Instruct-v0.3': 12.82070517539978}","{'Qwen2.5-3B-Instruct': 286.10674157303373, 'Phi-3-mini-128k-instruct': 409.0, 'Llama-3.1-8B-Instruct': 365.375, 'Qwen2.5-14B-Instruct': 232.0625, 'Mistral-7B-Instruct-v0.3': 306.08641975308643}",sustained,20
6,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{0: 179, 1: 121}","{'Qwen2.5-3B-Instruct': 2.398876404494382, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.7241485506071824, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.007146418480970584, 'Qwen2.5-14B-Instruct': 0.0024359954145968706, 'Mistral-7B-Instruct-v0.3': 0.022948470925349542}","{'Qwen2.5-3B-Instruct': 4.770574513446079, 'Phi-3-mini-128k-instruct': 0.022069931030273438, 'Llama-3.1-8B-Instruct': 0.08660849928855896, 'Qwen2.5-14B-Instruct': 0.03622600436210632, 'Mistral-7B-Instruct-v0.3': 0.04834299028655629}","{'Qwen2.5-3B-Instruct': 0.03779739645823158, 'Phi-3-mini-128k-instruct': 0.017062185354769034, 'Llama-3.1-8B-Instruct': 0.032090538677424806, 'Qwen2.5-14B-Instruct': 0.019365534625282135, 'Mistral-7B-Instruct-v0.3': 0.018455394412973523}","{'Qwen2.5-3B-Instruct': 15.076094887229834, 'Phi-3-mini-128k-instruct': 15.497472047805786, 'Llama-3.1-8B-Instruct': 9.65423372387886, 'Qwen2.5-14B-Instruct': 5.068158946931362, 'Mistral-7B-Instruct-v0.3': 5.436262822445528}","{'Qwen2.5-3B-Instruct': 32.38897227048874, 'Phi-3-mini-128k-instruct': 15.497472047805786, 'Llama-3.1-8B-Instruct': 27.00612286329269, 'Qwen2.5-14B-Instruct': 12.903943943977355, 'Mistral-7B-Instruct-v0.3': 12.746790170669556}","{'Qwen2.5-3B-Instruct': 280.75280898876406, 'Phi-3-mini-128k-instruct': 907.0, 'Llama-3.1-8B-Instruct': 319.625, 'Qwen2.5-14B-Instruct': 251.46875, 'Mistral-7B-Instruct-v0.3': 294.9753086419753}",sustained,20
9,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{0: 179, 1: 121}","{'Qwen2.5-3B-Instruct': 3.432584269662921, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.7167589488903441, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.040572544457370796, 'Qwen2.5-14B-Instruct': 0.00229668195134378, 'Mistral-7B-Instruct-v0.3': 0.022204656116024128}","{'Qwen2.5-3B-Instruct': 4.596568493360884, 'Phi-3-mini-128k-instruct': 0.02869272232055664, 'Llama-3.1-8B-Instruct': 0.08970841765403748, 'Qwen2.5-14B-Instruct': 0.038043610751628876, 'Mistral-7B-Instruct-v0.3': 0.04694648142214174}","{'Qwen2.5-3B-Instruct': 0.03643503368603183, 'Phi-3-mini-128k-instruct': 0.0158599785396031, 'Llama-3.1-8B-Instruct': 0.031471094869353525, 'Qwen2.5-14B-Instruct': 0.01952539201904674, 'Mistral-7B-Instruct-v0.3': 0.018403499697119203}","{'Qwen2.5-3B-Instruct': 14.347917169667362, 'Phi-3-mini-128k-instruct': 4.5805065631866455, 'Llama-3.1-8B-Instruct': 9.845095038414001, 'Qwen2.5-14B-Instruct': 4.809235014021397, 'Mistral-7B-Instruct-v0.3': 5.661637815428369}","{'Qwen2.5-3B-Instruct': 29.70382472276688, 'Phi-3-mini-128k-instruct': 4.5805065631866455, 'Llama-3.1-8B-Instruct': 27.70829442739486, 'Qwen2.5-14B-Instruct': 14.796331524848936, 'Mistral-7B-Instruct-v0.3': 13.552042245864868}","{'Qwen2.5-3B-Instruct': 276.438202247191, 'Phi-3-mini-128k-instruct': 287.0, 'Llama-3.1-8B-Instruct': 338.75, 'Qwen2.5-14B-Instruct': 236.15625, 'Mistral-7B-Instruct-v0.3': 311.55555555555554}",sustained,20
12,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{1: 121, 0: 179}","{'Qwen2.5-3B-Instruct': 3.5112359550561796, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.7783200529055934, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.06197025095562572, 'Qwen2.5-14B-Instruct': 0.002153388103426312, 'Mistral-7B-Instruct-v0.3': 0.02362915754052556}","{'Qwen2.5-3B-Instruct': 4.783976791949755, 'Phi-3-mini-128k-instruct': 0.02451157569885254, 'Llama-3.1-8B-Instruct': 0.08130478858947754, 'Qwen2.5-14B-Instruct': 0.03701692819595337, 'Mistral-7B-Instruct-v0.3': 0.048347002194251545}","{'Qwen2.5-3B-Instruct': 0.03706466710922295, 'Phi-3-mini-128k-instruct': 0.015657118138144997, 'Llama-3.1-8B-Instruct': 0.03062701560802559, 'Qwen2.5-14B-Instruct': 0.019921919303585858, 'Mistral-7B-Instruct-v0.3': 0.02031169706830193}","{'Qwen2.5-3B-Instruct': 15.122347230321905, 'Phi-3-mini-128k-instruct': 2.1538796424865723, 'Llama-3.1-8B-Instruct': 15.543020278215408, 'Qwen2.5-14B-Instruct': 5.038925275206566, 'Mistral-7B-Instruct-v0.3': 5.980745015320955}","{'Qwen2.5-3B-Instruct': 35.54212044477463, 'Phi-3-mini-128k-instruct': 2.1538796424865723, 'Llama-3.1-8B-Instruct': 31.9893834233284, 'Qwen2.5-14B-Instruct': 14.83486224412918, 'Mistral-7B-Instruct-v0.3': 13.262437582015991}","{'Qwen2.5-3B-Instruct': 299.64606741573033, 'Phi-3-mini-128k-instruct': 136.0, 'Llama-3.1-8B-Instruct': 508.75, 'Qwen2.5-14B-Instruct': 241.96875, 'Mistral-7B-Instruct-v0.3': 295.9753086419753}",sustained,20
15,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{1: 121, 0: 179}","{'Qwen2.5-3B-Instruct': 3.539325842696629, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.7499918955892555, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.05762838623898954, 'Qwen2.5-14B-Instruct': 0.00252356387721309, 'Mistral-7B-Instruct-v0.3': 0.023058259089087613}","{'Qwen2.5-3B-Instruct': 4.35216913196478, 'Phi-3-mini-128k-instruct': 0.02213764190673828, 'Llama-3.1-8B-Instruct': 0.08844748139381409, 'Qwen2.5-14B-Instruct': 0.03836269676685333, 'Mistral-7B-Instruct-v0.3': 0.048831824903134945}","{'Qwen2.5-3B-Instruct': 0.03795436277417396, 'Phi-3-mini-128k-instruct': 0.0165089970236426, 'Llama-3.1-8B-Instruct': 0.03243271043044228, 'Qwen2.5-14B-Instruct': 0.01943613512170051, 'Mistral-7B-Instruct-v0.3': 0.01845269828606878}","{'Qwen2.5-3B-Instruct': 14.618381731965568, 'Phi-3-mini-128k-instruct': 7.352132320404053, 'Llama-3.1-8B-Instruct': 8.427447259426117, 'Qwen2.5-14B-Instruct': 5.103339843451977, 'Mistral-7B-Instruct-v0.3': 5.3299566316015925}","{'Qwen2.5-3B-Instruct': 37.09405971765519, 'Phi-3-mini-128k-instruct': 7.352132320404053, 'Llama-3.1-8B-Instruct': 26.797774672508233, 'Qwen2.5-14B-Instruct': 13.744653058052062, 'Mistral-7B-Instruct-v0.3': 12.599075317382812}","{'Qwen2.5-3B-Instruct': 284.62359550561797, 'Phi-3-mini-128k-instruct': 444.0, 'Llama-3.1-8B-Instruct': 267.0, 'Qwen2.5-14B-Instruct': 248.5625, 'Mistral-7B-Instruct-v0.3': 292.5925925925926}",sustained,20
18,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{1: 121, 0: 179}","{'Qwen2.5-3B-Instruct': 3.731460674157303, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.7486027995876476, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.12371198271563902, 'Qwen2.5-14B-Instruct': 0.0021812507960769327, 'Mistral-7B-Instruct-v0.3': 0.024886232015326432}","{'Qwen2.5-3B-Instruct': 3.5223133577389665, 'Phi-3-mini-128k-instruct': 0.023443937301635742, 'Llama-3.1-8B-Instruct': 0.09580695629119873, 'Qwen2.5-14B-Instruct': 0.038230545818805695, 'Mistral-7B-Instruct-v0.3': 0.04905593248061192}","{'Qwen2.5-3B-Instruct': 0.03853866797770365, 'Phi-3-mini-128k-instruct': 0.014071524733363991, 'Llama-3.1-8B-Instruct': 0.03358729504935253, 'Qwen2.5-14B-Instruct': 0.02018775102098525, 'Mistral-7B-Instruct-v0.3': 0.019697991854093107}","{'Qwen2.5-3B-Instruct': 13.61486730816659, 'Phi-3-mini-128k-instruct': 2.865891933441162, 'Llama-3.1-8B-Instruct': 22.351464569568634, 'Qwen2.5-14B-Instruct': 5.202325500547886, 'Mistral-7B-Instruct-v0.3': 5.8719615700804155}","{'Qwen2.5-3B-Instruct': 31.690537774562838, 'Phi-3-mini-128k-instruct': 2.865891933441162, 'Llama-3.1-8B-Instruct': 38.388753497600554, 'Qwen2.5-14B-Instruct': 14.73897658586502, 'Mistral-7B-Instruct-v0.3': 14.290756702423096}","{'Qwen2.5-3B-Instruct': 276.2134831460674, 'Phi-3-mini-128k-instruct': 202.0, 'Llama-3.1-8B-Instruct': 643.0, 'Qwen2.5-14B-Instruct': 248.3125, 'Mistral-7B-Instruct-v0.3': 302.2962962962963}",sustained,20
21,300,"{'Qwen2.5-3B-Instruct': 178, 'Phi-3-mini-128k-instruct': 1, 'Llama-3.1-8B-Instruct': 8, 'Qwen2.5-14B-Instruct': 32, 'Mistral-7B-Instruct-v0.3': 81}","{1: 121, 0: 179}","{'Qwen2.5-3B-Instruct': 4.258426966292135, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.0, 'Qwen2.5-14B-Instruct': 0.0, 'Mistral-7B-Instruct-v0.3': 0.0}","{'Qwen2.5-3B-Instruct': 0.751565772155838, 'Phi-3-mini-128k-instruct': 0.0, 'Llama-3.1-8B-Instruct': 0.12697357487119826, 'Qwen2.5-14B-Instruct': 0.0017871927143039076, 'Mistral-7B-Instruct-v0.3': 0.021485543643539783}","{'Qwen2.5-3B-Instruct': 6.522162942404158, 'Phi-3-mini-128k-instruct': 0.021932125091552734, 'Llama-3.1-8B-Instruct': 0.09913906455039978, 'Qwen2.5-14B-Instruct': 0.03456452488899231, 'Mistral-7B-Instruct-v0.3': 0.04596287821546013}","{'Qwen2.5-3B-Instruct': 0.03679392749094432, 'Phi-3-mini-128k-instruct': 0.01640567111508282, 'Llama-3.1-8B-Instruct': 0.03319054039994642, 'Qwen2.5-14B-Instruct': 0.018292365227733157, 'Mistral-7B-Instruct-v0.3': 0.01899206295193107}","{'Qwen2.5-3B-Instruct': 17.169887217243065, 'Phi-3-mini-128k-instruct': 13.605827808380127, 'Llama-3.1-8B-Instruct': 19.582057744264603, 'Qwen2.5-14B-Instruct': 4.958275385200977, 'Mistral-7B-Instruct-v0.3': 6.004337522718641}","{'Qwen2.5-3B-Instruct': 37.21291073560715, 'Phi-3-mini-128k-instruct': 13.605827808380127, 'Llama-3.1-8B-Instruct': 37.02887651920319, 'Qwen2.5-14B-Instruct': 13.203360867500304, 'Mistral-7B-Instruct-v0.3': 13.92743706703186}","{'Qwen2.5-3B-Instruct': 303.7303370786517, 'Phi-3-mini-128k-instruct': 828.0, 'Llama-3.1-8B-Instruct': 597.75, 'Qwen2.5-14B-Instruct': 240.09375, 'Mistral-7B-Instruct-v0.3': 312.74074074074076}",sustained,20
